date,region,appos,count
2021-03-06,NT,ios,1903
2021-03-06,NS,android,25640
2021-03-06,NS,ios,85397
2021-03-06,NU,android,152
2021-03-06,NU,ios,454
2021-03-06,ON,android,296753
2021-03-06,ON,ios,1043044
2021-03-06,PE,android,4576
2021-03-06,PE,ios,14802
2021-03-06,QC,android,170601
2021-03-06,QC,ios,496045
2021-03-06,SK,android,13327
2021-03-06,SK,ios,59705
2021-03-06,YT,android,174
2021-03-06,YT,ios,868
2021-03-06,NPTS,android,28004
2021-03-06,NPTS,ios,191100
2021-03-07,AB,android,11678
2021-03-07,AB,ios,74810
2021-03-07,BC,android,23279
2021-03-07,BC,ios,151227
2021-03-07,MB,android,19985
2021-03-07,MB,ios,100500
2021-03-07,NB,android,19705
2021-03-07,NB,ios,58697
2021-03-07,NL,android,24121
2021-03-07,NL,ios,92833
2021-03-07,NT,android,441
2021-03-07,NT,ios,1904
2021-03-07,NS,android,26014
2021-03-07,NS,ios,85639
2021-03-07,NU,android,152
2021-03-07,NU,ios,454
2021-03-07,ON,android,304927
2021-03-07,ON,ios,1044203
2021-03-07,PE,android,4592
2021-03-07,PE,ios,14841
2021-03-07,QC,android,174144
2021-03-07,QC,ios,495793
2021-03-07,SK,android,13565
2021-03-07,SK,ios,59810
2021-03-07,YT,android,178
2021-03-07,YT,ios,867
2021-03-07,NPTS,android,28919
2021-03-07,NPTS,ios,190593
2021-03-08,AB,android,11808
2021-03-08,AB,ios,75051
2021-03-08,BC,android,23543
2021-03-08,BC,ios,151691
2021-03-08,MB,android,20364
2021-03-08,MB,ios,101007
2021-03-08,NB,android,20095
2021-03-08,NB,ios,58926
2021-03-08,NL,android,24374
2021-03-08,NL,ios,93206
2021-03-08,NT,android,450
2021-03-08,NT,ios,1908
2021-03-08,NS,android,26427
2021-03-08,NS,ios,86032
2021-03-08,NU,android,151
2021-03-08,NU,ios,464
2021-03-08,ON,android,311186
2021-03-08,ON,ios,1049975
2021-03-08,PE,android,4627
2021-03-08,PE,ios,14921
2021-03-08,QC,android,177858
2021-03-08,QC,ios,497986
2021-03-08,SK,android,13729
2021-03-08,SK,ios,60027
2021-03-08,YT,android,172
2021-03-08,YT,ios,874
2021-03-08,NPTS,android,29779
2021-03-08,NPTS,ios,191353
2021-03-09,AB,android,11956
2021-03-09,AB,ios,75336
2021-03-09,BC,android,23791
2021-03-09,BC,ios,152073
2021-03-09,MB,android,20525
2021-03-09,MB,ios,101303
2021-03-09,NB,android,20318
2021-03-09,NB,ios,59098
2021-03-09,NL,android,24526
2021-03-09,NL,ios,93479
2021-03-09,NT,android,459
2021-03-09,NT,ios,1920
2021-03-09,NS,android,26705
2021-03-09,NS,ios,86318
2021-03-09,NU,android,148
2021-03-09,NU,ios,469
2021-03-09,ON,android,314075
2021-03-09,ON,ios,1054525
2021-03-09,PE,android,4701
2021-03-09,PE,ios,15005
2021-03-09,QC,android,179493
2021-03-09,QC,ios,499874
2021-03-09,SK,android,13893
2021-03-09,SK,ios,60335
2021-03-09,YT,android,178
2021-03-09,YT,ios,880
2021-03-09,NPTS,android,30288
2021-03-09,NPTS,ios,192493
2021-03-10,AB,android,11924
2021-03-10,AB,ios,75514
2021-03-10,BC,android,24033
2021-03-10,BC,ios,152524
2021-03-10,MB,android,20662
2021-03-10,MB,ios,101536
2021-03-10,NB,android,20411
2021-03-10,NB,ios,59238
2021-03-10,NL,android,24700
2021-03-10,NL,ios,93699
2021-03-10,NT,android,470
2021-03-10,NT,ios,1935
2021-03-10,NS,android,26620
2021-03-10,NS,ios,86571
2021-03-10,NU,android,148
2021-03-10,NU,ios,471
2021-03-10,ON,android,316366
2021-03-10,ON,ios,1058179
2021-03-10,PE,android,4687
2021-03-10,PE,ios,15036
2021-03-10,QC,android,182416
2021-03-10,QC,ios,501219
2021-03-10,SK,android,13991
2021-03-10,SK,ios,60454
2021-03-10,YT,android,181
2021-03-10,YT,ios,883
2021-03-10,NPTS,android,30655
2021-03-10,NPTS,ios,194042
2021-03-11,AB,android,11985
2021-03-11,AB,ios,75614
2021-03-11,BC,android,24083
2021-03-11,BC,ios,152700
2021-03-11,MB,android,20754
2021-03-11,MB,ios,101742
2021-03-11,NB,android,20453
2021-03-11,NB,ios,59357
2021-03-11,NL,android,24756
2021-03-11,NL,ios,93930
2021-03-11,NT,android,471
2021-03-11,NT,ios,1936
2021-03-11,NS,android,26723
2021-03-11,NS,ios,86740
2021-03-11,NU,android,149
2021-03-11,NU,ios,470
2021-03-11,ON,android,317285
2021-03-11,ON,ios,1061076
2021-03-11,PE,android,4662
2021-03-11,PE,ios,15091
2021-03-11,QC,android,183987
2021-03-11,QC,ios,502040
2021-03-11,SK,android,14097
2021-03-11,SK,ios,60615
2021-03-11,YT,android,182
2021-03-11,YT,ios,882
2021-03-11,NPTS,android,30814
2021-03-11,NPTS,ios,195365
2021-03-12,AB,android,11982
2021-03-12,AB,ios,75653
2021-03-12,BC,android,24164
2021-03-12,BC,ios,152976
2021-03-12,MB,android,20912
2021-03-12,MB,ios,101887
2021-03-12,NB,android,20606
2021-03-12,NB,ios,59468
2021-03-12,NL,android,24636
2021-03-12,NL,ios,94022
2021-03-12,NT,android,473
2021-03-12,NT,ios,1951
2021-03-12,NS,android,26722
2021-03-12,NS,ios,86872
2021-03-12,NU,android,152
2021-03-12,NU,ios,473
2021-03-12,ON,android,318641
2021-03-12,ON,ios,1063204
2021-03-12,PE,android,4642
2021-03-12,PE,ios,15100
2021-03-12,QC,android,185777
2021-03-12,QC,ios,503054
2021-03-12,SK,android,14056
2021-03-12,SK,ios,60667
2021-03-12,YT,android,192
2021-03-12,YT,ios,891
2021-03-12,NPTS,android,31318
2021-03-12,NPTS,ios,196755
2021-03-13,AB,android,11878
2021-03-13,AB,ios,75645
2021-03-13,BC,android,23962
2021-03-13,BC,ios,152964
2021-03-13,MB,android,20609
2021-03-13,MB,ios,101743
2021-03-13,NB,android,20377
2021-03-13,NB,ios,59423
2021-03-13,NL,android,24208
2021-03-13,NL,ios,93957
2021-03-13,NT,android,481
2021-03-13,NT,ios,1953
2021-03-13,NS,android,26566
2021-03-13,NS,ios,86937
2021-03-13,NU,android,152
2021-03-13,NU,ios,475
2021-03-13,ON,android,316789
2021-03-13,ON,ios,1063242
2021-03-13,PE,android,4655
2021-03-13,PE,ios,15118
2021-03-13,QC,android,184117
2021-03-13,QC,ios,502685
2021-03-13,SK,android,13947
2021-03-13,SK,ios,60754
2021-03-13,YT,android,182
2021-03-13,YT,ios,887
