date,region,count
2021-03-27,NS,116313
2021-03-27,NU,650
2021-03-27,ON,1413116
2021-03-27,PE,19980
2021-03-27,QC,692919
2021-03-27,SK,76874
2021-03-27,YT,1086
2021-03-27,NPTS,244042
2021-03-28,AB,87506
2021-03-28,BC,176878
2021-03-28,MB,124056
2021-03-28,NB,81410
2021-03-28,NL,117831
2021-03-28,NT,2532
2021-03-28,NS,116500
2021-03-28,NU,650
2021-03-28,ON,1412066
2021-03-28,PE,19951
2021-03-28,QC,691753
2021-03-28,SK,76858
2021-03-28,YT,1097
2021-03-28,NPTS,244550
2021-03-29,AB,87569
2021-03-29,BC,177172
2021-03-29,MB,124656
2021-03-29,NB,81787
2021-03-29,NL,117999
2021-03-29,NT,2560
2021-03-29,NS,116751
2021-03-29,NU,665
2021-03-29,ON,1419523
2021-03-29,PE,20019
2021-03-29,QC,694749
2021-03-29,SK,77074
2021-03-29,YT,1099
2021-03-29,NPTS,246111
2021-03-30,AB,87648
2021-03-30,BC,177475
2021-03-30,MB,124669
2021-03-30,NB,81897
2021-03-30,NL,118152
2021-03-30,NT,2557
2021-03-30,NS,117016
2021-03-30,NU,659
2021-03-30,ON,1423359
2021-03-30,PE,20045
2021-03-30,QC,696213
2021-03-30,SK,77164
2021-03-30,YT,1104
2021-03-30,NPTS,247450
2021-03-31,AB,87603
2021-03-31,BC,177498
2021-03-31,MB,124886
2021-03-31,NB,81988
2021-03-31,NL,118207
2021-03-31,NT,2559
2021-03-31,NS,117205
2021-03-31,NU,658
2021-03-31,ON,1425199
2021-03-31,PE,20039
2021-03-31,QC,696922
2021-03-31,SK,77354
2021-03-31,YT,1106
2021-03-31,NPTS,248770
2021-04-01,AB,87703
2021-04-01,BC,177659
2021-04-01,MB,124958
2021-04-01,NB,81907
2021-04-01,NL,118327
2021-04-01,NT,2589
2021-04-01,NS,117263
2021-04-01,NU,651
2021-04-01,ON,1428196
2021-04-01,PE,20053
2021-04-01,QC,697338
2021-04-01,SK,77537
2021-04-01,YT,1107
2021-04-01,NPTS,250316
2021-04-02,AB,87559
2021-04-02,BC,177476
2021-04-02,MB,124450
2021-04-02,NB,81641
2021-04-02,NL,118017
2021-04-02,NT,2567
2021-04-02,NS,116958
2021-04-02,NU,649
2021-04-02,ON,1425556
2021-04-02,PE,19959
2021-04-02,QC,696652
2021-04-02,SK,77482
2021-04-02,YT,1095
2021-04-02,NPTS,250234
2021-04-03,AB,87385
2021-04-03,BC,177030
2021-04-03,MB,124380
2021-04-03,NB,81722
2021-04-03,NL,117930
2021-04-03,NT,2569
2021-04-03,NS,116984
2021-04-03,NU,660
2021-04-03,ON,1425777
2021-04-03,PE,20001
2021-04-03,QC,694683
2021-04-03,SK,77505
2021-04-03,YT,1075
2021-04-03,NPTS,249959
2021-04-04,AB,87343
2021-04-04,BC,176972
2021-04-04,MB,124284
2021-04-04,NB,81435
2021-04-04,NL,117817
2021-04-04,NT,2577
2021-04-04,NS,116772
2021-04-04,NU,656
2021-04-04,ON,1426306
2021-04-04,PE,19973
2021-04-04,QC,694238
2021-04-04,SK,77541
2021-04-04,YT,1073
2021-04-04,NPTS,250149
2021-04-05,AB,87431
2021-04-05,BC,177279
2021-04-05,MB,124966
2021-04-05,NB,81890
2021-04-05,NL,118208
2021-04-05,NT,2585
2021-04-05,NS,117170
2021-04-05,NU,658
2021-04-05,ON,1433608
2021-04-05,PE,20025
2021-04-05,QC,696265
2021-04-05,SK,77775
2021-04-05,YT,1091
2021-04-05,NPTS,250976
2021-04-06,AB,87669
2021-04-06,BC,177661
2021-04-06,MB,125590
2021-04-06,NB,82204
2021-04-06,NL,118441
2021-04-06,NT,2585
2021-04-06,NS,117684
2021-04-06,NU,664
2021-04-06,ON,1441832
2021-04-06,PE,20080
2021-04-06,QC,698788
2021-04-06,SK,77890
2021-04-06,YT,1101
2021-04-06,NPTS,252955
2021-04-07,AB,87683
2021-04-07,BC,177802
2021-04-07,MB,125703
2021-04-07,NB,82289
2021-04-07,NL,118386
2021-04-07,NT,2598
2021-04-07,NS,117939
2021-04-07,NU,667
2021-04-07,ON,1445340
2021-04-07,PE,20089
2021-04-07,QC,699275
2021-04-07,SK,78066
2021-04-07,YT,1095
2021-04-07,NPTS,253985
2021-04-08,AB,87759
2021-04-08,BC,177773
2021-04-08,MB,125941
2021-04-08,NB,82430
2021-04-08,NL,118368
2021-04-08,NT,2611
2021-04-08,NS,117927
2021-04-08,NU,675
2021-04-08,ON,1449090
2021-04-08,PE,20143
2021-04-08,QC,700185
2021-04-08,SK,78090
2021-04-08,YT,1097
2021-04-08,NPTS,255324
2021-04-09,AB,87728
2021-04-09,BC,177816
2021-04-09,MB,125861
2021-04-09,NB,82328
2021-04-09,NL,118403
2021-04-09,NT,2618
2021-04-09,NS,117822
2021-04-09,NU,671
2021-04-09,ON,1449046
2021-04-09,PE,20112
2021-04-09,QC,699686
2021-04-09,SK,78142
2021-04-09,YT,1111
2021-04-09,NPTS,254338
2021-04-10,AB,87671
2021-04-10,BC,177648
2021-04-10,MB,125663
2021-04-10,NB,82423
2021-04-10,NL,118245
2021-04-10,NT,2610
2021-04-10,NS,117635
2021-04-10,NU,678
2021-04-10,ON,1447160
2021-04-10,PE,20120
2021-04-10,QC,700031
2021-04-10,SK,78212
2021-04-10,YT,1095
2021-04-10,NPTS,253835
2021-04-11,AB,87513
2021-04-11,BC,177533
2021-04-11,MB,125552
2021-04-11,NB,82747
2021-04-11,NL,118363
2021-04-11,NT,2605
2021-04-11,NS,117777
2021-04-11,NU,682
2021-04-11,ON,1447139
2021-04-11,PE,20033
2021-04-11,QC,700044
2021-04-11,SK,78218
2021-04-11,YT,1095
2021-04-11,NPTS,255526
2021-04-12,AB,87866
2021-04-12,BC,178067
2021-04-12,MB,126146
2021-04-12,NB,83258
2021-04-12,NL,119110
2021-04-12,NT,2625
2021-04-12,NS,118247
2021-04-12,NU,694
2021-04-12,ON,1454342
2021-04-12,PE,20140
2021-04-12,QC,702905
2021-04-12,SK,78514
2021-04-12,YT,1090
2021-04-12,NPTS,256215
2021-04-13,AB,87793
2021-04-13,BC,178461
2021-04-13,MB,126343
2021-04-13,NB,83501
2021-04-13,NL,119308
2021-04-13,NT,2635
2021-04-13,NS,118384
2021-04-13,NU,690
2021-04-13,ON,1456928
2021-04-13,PE,20245
2021-04-13,QC,703560
2021-04-13,SK,78676
2021-04-13,YT,1099
2021-04-13,NPTS,256013
2021-04-14,AB,87809
2021-04-14,BC,178232
2021-04-14,MB,126421
2021-04-14,NB,83504
2021-04-14,NL,119216
2021-04-14,NT,2649
2021-04-14,NS,118304
2021-04-14,NU,684
2021-04-14,ON,1457018
2021-04-14,PE,20211
2021-04-14,QC,702804
2021-04-14,SK,78704
2021-04-14,YT,1108
2021-04-14,NPTS,256116
2021-04-15,AB,87848
2021-04-15,BC,178115
2021-04-15,MB,126600
2021-04-15,NB,83568
2021-04-15,NL,119241
2021-04-15,NT,2649
2021-04-15,NS,118453
2021-04-15,NU,695
2021-04-15,ON,1458552
2021-04-15,PE,20216
2021-04-15,QC,701802
2021-04-15,SK,78773
2021-04-15,YT,1101
2021-04-15,NPTS,256758
2021-04-16,AB,87903
2021-04-16,BC,178123
2021-04-16,MB,126695
2021-04-16,NB,83590
2021-04-16,NL,119271
2021-04-16,NT,2651
2021-04-16,NS,118483
2021-04-16,NU,710
2021-04-16,ON,1460455
2021-04-16,PE,20224
2021-04-16,QC,702064
2021-04-16,SK,78813
2021-04-16,YT,1112
2021-04-16,NPTS,257866
2021-04-17,AB,87788
2021-04-17,BC,177773
2021-04-17,MB,126383
2021-04-17,NB,83222
2021-04-17,NL,118839
2021-04-17,NT,2654
2021-04-17,NS,118175
2021-04-17,NU,730
2021-04-17,ON,1457110
2021-04-17,PE,20144
2021-04-17,QC,699426
2021-04-17,SK,78703
2021-04-17,YT,1116
2021-04-17,NPTS,256564
2021-04-18,AB,87611
2021-04-18,BC,177622
2021-04-18,MB,126246
2021-04-18,NB,83243
2021-04-18,NL,118899
2021-04-18,NT,2657
2021-04-18,NS,118309
2021-04-18,NU,749
2021-04-18,ON,1457836
2021-04-18,PE,20212
2021-04-18,QC,699028
2021-04-18,SK,78737
2021-04-18,YT,1110
2021-04-18,NPTS,256386
2021-04-19,AB,87801
2021-04-19,BC,178065
2021-04-19,MB,126756
2021-04-19,NB,83620
2021-04-19,NL,119305
2021-04-19,NT,2641
2021-04-19,NS,118903
2021-04-19,NU,766
2021-04-19,ON,1466638
2021-04-19,PE,20244
2021-04-19,QC,701573
2021-04-19,SK,78860
2021-04-19,YT,1110
2021-04-19,NPTS,258127
2021-04-20,AB,87658
2021-04-20,BC,177933
2021-04-20,MB,126927
2021-04-20,NB,83597
2021-04-20,NL,119242
2021-04-20,NT,2662
2021-04-20,NS,119406
2021-04-20,NU,785
2021-04-20,ON,1465590
2021-04-20,PE,20243
2021-04-20,QC,700899
2021-04-20,SK,78987
2021-04-20,YT,1115
2021-04-20,NPTS,258169
2021-04-21,AB,87699
2021-04-21,BC,177897
2021-04-21,MB,127087
2021-04-21,NB,83556
2021-04-21,NL,119117
2021-04-21,NT,2664
2021-04-21,NS,119975
2021-04-21,NU,767
2021-04-21,ON,1466780
2021-04-21,PE,20238
2021-04-21,QC,700078
2021-04-21,SK,79018
2021-04-21,YT,1105
2021-04-21,NPTS,258883
2021-04-22,AB,87527
2021-04-22,BC,177777
2021-04-22,MB,127076
2021-04-22,NB,83569
2021-04-22,NL,119043
2021-04-22,NT,2684
2021-04-22,NS,120735
2021-04-22,NU,775
2021-04-22,ON,1466740
2021-04-22,PE,20234
2021-04-22,QC,699598
2021-04-22,SK,78974
2021-04-22,YT,1108
2021-04-22,NPTS,259732
2021-04-23,AB,87522
2021-04-23,BC,177510
2021-04-23,MB,127077
2021-04-23,NB,83495
2021-04-23,NL,118885
2021-04-23,NT,2700
2021-04-23,NS,121560
2021-04-23,NU,772
2021-04-23,ON,1466655
2021-04-23,PE,20201
2021-04-23,QC,698856
2021-04-23,SK,79004
2021-04-23,YT,1110
2021-04-23,NPTS,260379
2021-04-24,AB,87397
2021-04-24,BC,177222
2021-04-24,MB,126742
2021-04-24,NB,83288
2021-04-24,NL,118529
2021-04-24,NT,2736
2021-04-24,NS,122361
2021-04-24,NU,789
2021-04-24,ON,1462216
