date,framework_status-etat_cadre,notification_permission-permission_notif,count-nombre
2021-04-09,enabled-active,blocked-bloque,95
2021-04-09,enabled-active,granted-autorise,4020
2021-04-09,enabled-active,denied-refuse,<20
2021-04-09,disabled-desactive,blocked-bloque,103
2021-04-09,disabled-desactive,granted-autorise,726
2021-04-09,disabled-desactive,denied-refuse,<20
2021-04-10,enabled-active,blocked-bloque,93
2021-04-10,enabled-active,granted-autorise,3860
2021-04-10,enabled-active,denied-refuse,<20
2021-04-10,disabled-desactive,blocked-bloque,91
2021-04-10,disabled-desactive,granted-autorise,724
2021-04-10,disabled-desactive,denied-refuse,<20
2021-04-11,enabled-active,blocked-bloque,131
2021-04-11,enabled-active,granted-autorise,5226
2021-04-11,enabled-active,denied-refuse,<20
2021-04-11,disabled-desactive,blocked-bloque,150
2021-04-11,disabled-desactive,granted-autorise,888
2021-04-11,disabled-desactive,denied-refuse,<20
2021-04-12,enabled-active,blocked-bloque,130
2021-04-12,enabled-active,granted-autorise,5096
2021-04-12,enabled-active,denied-refuse,<20
2021-04-12,disabled-desactive,blocked-bloque,106
2021-04-12,disabled-desactive,granted-autorise,886
2021-04-12,disabled-desactive,denied-refuse,<20
2021-04-13,enabled-active,blocked-bloque,95
2021-04-13,enabled-active,granted-autorise,4428
2021-04-13,enabled-active,denied-refuse,<20
2021-04-13,disabled-desactive,blocked-bloque,109
2021-04-13,disabled-desactive,granted-autorise,758
2021-04-13,disabled-desactive,denied-refuse,<20
2021-04-14,enabled-active,blocked-bloque,87
2021-04-14,enabled-active,granted-autorise,4064
2021-04-14,enabled-active,denied-refuse,<20
2021-04-14,disabled-desactive,blocked-bloque,116
2021-04-14,disabled-desactive,granted-autorise,740
2021-04-14,disabled-desactive,denied-refuse,<20
2021-04-15,enabled-active,blocked-bloque,114
2021-04-15,enabled-active,granted-autorise,4084
2021-04-15,enabled-active,denied-refuse,<20
2021-04-15,disabled-desactive,blocked-bloque,98
2021-04-15,disabled-desactive,granted-autorise,708
2021-04-15,disabled-desactive,denied-refuse,<20
2021-04-16,enabled-active,blocked-bloque,107
2021-04-16,enabled-active,granted-autorise,4566
2021-04-16,enabled-active,denied-refuse,<20
2021-04-16,disabled-desactive,blocked-bloque,98
2021-04-16,disabled-desactive,granted-autorise,811
2021-04-16,disabled-desactive,denied-refuse,<20
2021-04-17,enabled-active,blocked-bloque,81
2021-04-17,enabled-active,granted-autorise,3898
2021-04-17,enabled-active,denied-refuse,<20
2021-04-17,disabled-desactive,blocked-bloque,97
2021-04-17,disabled-desactive,granted-autorise,695
2021-04-17,disabled-desactive,denied-refuse,<20
2021-04-18,enabled-active,blocked-bloque,86
2021-04-18,enabled-active,granted-autorise,3333
2021-04-18,enabled-active,denied-refuse,<20
2021-04-18,disabled-desactive,blocked-bloque,86
2021-04-18,disabled-desactive,granted-autorise,624
2021-04-18,disabled-desactive,denied-refuse,<20
2021-04-19,enabled-active,blocked-bloque,88
2021-04-19,enabled-active,granted-autorise,3781
2021-04-19,enabled-active,denied-refuse,<20
2021-04-19,disabled-desactive,blocked-bloque,97
2021-04-19,disabled-desactive,granted-autorise,702
2021-04-19,disabled-desactive,denied-refuse,<20
2021-04-20,enabled-active,blocked-bloque,76
2021-04-20,enabled-active,granted-autorise,3572
2021-04-20,enabled-active,denied-refuse,<20
2021-04-20,disabled-desactive,blocked-bloque,96
2021-04-20,disabled-desactive,granted-autorise,688
2021-04-20,disabled-desactive,denied-refuse,<20
2021-04-21,enabled-active,blocked-bloque,69
2021-04-21,enabled-active,granted-autorise,3731
2021-04-21,enabled-active,denied-refuse,<20
2021-04-21,disabled-desactive,blocked-bloque,113
2021-04-21,disabled-desactive,granted-autorise,657
2021-04-21,disabled-desactive,denied-refuse,<20
2021-04-22,enabled-active,blocked-bloque,92
2021-04-22,enabled-active,granted-autorise,3936
2021-04-22,enabled-active,denied-refuse,<20
2021-04-22,disabled-desactive,blocked-bloque,77
2021-04-22,disabled-desactive,granted-autorise,731
2021-04-22,disabled-desactive,denied-refuse,<20
2021-04-23,enabled-active,blocked-bloque,86
2021-04-23,enabled-active,granted-autorise,4012
2021-04-23,enabled-active,denied-refuse,<20
2021-04-23,disabled-desactive,blocked-bloque,80
2021-04-23,disabled-desactive,granted-autorise,646
2021-04-23,disabled-desactive,denied-refuse,<20
2021-04-24,enabled-active,blocked-bloque,79
2021-04-24,enabled-active,granted-autorise,4141
2021-04-24,enabled-active,denied-refuse,<20
2021-04-24,disabled-desactive,blocked-bloque,92
2021-04-24,disabled-desactive,granted-autorise,666
2021-04-24,disabled-desactive,denied-refuse,<20
2021-04-25,enabled-active,blocked-bloque,88
2021-04-25,enabled-active,granted-autorise,4050
2021-04-25,enabled-active,denied-refuse,<20
2021-04-25,disabled-desactive,blocked-bloque,87
2021-04-25,disabled-desactive,granted-autorise,724
2021-04-25,disabled-desactive,denied-refuse,<20
2021-04-26,enabled-active,blocked-bloque,106
2021-04-26,enabled-active,granted-autorise,4077
2021-04-26,enabled-active,denied-refuse,<20
2021-04-26,disabled-desactive,blocked-bloque,88
2021-04-26,disabled-desactive,granted-autorise,1145
2021-04-26,disabled-desactive,denied-refuse,<20
2021-04-27,enabled-active,blocked-bloque,89
2021-04-27,enabled-active,granted-autorise,3823
2021-04-27,enabled-active,denied-refuse,<20
2021-04-27,disabled-desactive,blocked-bloque,114
2021-04-27,disabled-desactive,granted-autorise,1281
2021-04-27,disabled-desactive,denied-refuse,<20
2021-04-28,enabled-active,blocked-bloque,78
2021-04-28,enabled-active,granted-autorise,3165
2021-04-28,enabled-active,denied-refuse,<20
2021-04-28,disabled-desactive,blocked-bloque,96
2021-04-28,disabled-desactive,granted-autorise,1274
2021-04-28,disabled-desactive,denied-refuse,<20
2021-04-29,enabled-active,blocked-bloque,63
2021-04-29,enabled-active,granted-autorise,2743
2021-04-29,enabled-active,denied-refuse,<20
2021-04-29,disabled-desactive,blocked-bloque,92
2021-04-29,disabled-desactive,granted-autorise,1142
2021-04-29,disabled-desactive,denied-refuse,<20
2021-04-30,enabled-active,blocked-bloque,64
2021-04-30,enabled-active,granted-autorise,2640
2021-04-30,enabled-active,denied-refuse,<20
2021-04-30,disabled-desactive,blocked-bloque,83
2021-04-30,disabled-desactive,granted-autorise,1284
2021-04-30,disabled-desactive,denied-refuse,<20
2021-05-01,enabled-active,blocked-bloque,64
2021-05-01,enabled-active,granted-autorise,2592
2021-05-01,enabled-active,denied-refuse,<20
2021-05-01,disabled-desactive,blocked-bloque,74
2021-05-01,disabled-desactive,granted-autorise,1179
2021-05-01,disabled-desactive,denied-refuse,<20
2021-05-02,enabled-active,blocked-bloque,63
2021-05-02,enabled-active,granted-autorise,2536
