date,framework_status,notification_permission,count
2021-03-18,disabled,denied,<20
2021-03-19,enabled,granted,3944
2021-03-19,enabled,blocked,78
2021-03-19,enabled,granted,3944
2021-03-19,enabled,blocked,78
2021-03-19,enabled,denied,<20
2021-03-19,disabled,granted,778
2021-03-19,disabled,blocked,78
2021-03-19,disabled,granted,778
2021-03-19,disabled,blocked,78
2021-03-19,disabled,denied,<20
2021-03-20,enabled,granted,3964
2021-03-20,enabled,blocked,80
2021-03-20,enabled,granted,3964
2021-03-20,enabled,blocked,80
2021-03-20,enabled,denied,<20
2021-03-20,disabled,granted,754
2021-03-20,disabled,blocked,63
2021-03-20,disabled,granted,754
2021-03-20,disabled,blocked,63
2021-03-20,disabled,denied,<20
2021-03-21,enabled,granted,3524
2021-03-21,enabled,blocked,85
2021-03-21,enabled,granted,3524
2021-03-21,enabled,blocked,85
2021-03-21,enabled,denied,<20
2021-03-21,disabled,granted,739
2021-03-21,disabled,blocked,78
2021-03-21,disabled,granted,739
2021-03-21,disabled,blocked,78
2021-03-21,disabled,denied,<20
2021-03-22,enabled,granted,3695
2021-03-22,enabled,blocked,76
2021-03-22,enabled,granted,3695
2021-03-22,enabled,blocked,76
2021-03-22,enabled,denied,<20
2021-03-22,disabled,granted,742
2021-03-22,disabled,blocked,82
2021-03-22,disabled,granted,742
2021-03-22,disabled,blocked,82
2021-03-22,disabled,denied,<20
2021-03-23,enabled,granted,4734
2021-03-23,enabled,blocked,78
2021-03-23,enabled,granted,4734
2021-03-23,enabled,blocked,78
2021-03-23,enabled,denied,<20
2021-03-23,disabled,granted,1010
2021-03-23,disabled,blocked,66
2021-03-23,disabled,granted,1010
2021-03-23,disabled,blocked,66
2021-03-23,disabled,denied,<20
2021-03-24,enabled,granted,4142
2021-03-24,enabled,blocked,95
2021-03-24,enabled,granted,4142
2021-03-24,enabled,blocked,95
2021-03-24,enabled,denied,<20
2021-03-24,disabled,granted,906
2021-03-24,disabled,blocked,71
2021-03-24,disabled,granted,906
2021-03-24,disabled,blocked,71
2021-03-24,disabled,denied,<20
2021-03-25,enabled,granted,4048
2021-03-25,enabled,blocked,61
2021-03-25,enabled,granted,4048
2021-03-25,enabled,blocked,61
2021-03-25,enabled,denied,<20
2021-03-25,disabled,granted,747
2021-03-25,disabled,blocked,73
2021-03-25,disabled,granted,747
2021-03-25,disabled,blocked,73
2021-03-25,disabled,denied,<20
2021-03-26,enabled,granted,3985
2021-03-26,enabled,blocked,96
2021-03-26,enabled,granted,3985
2021-03-26,enabled,blocked,96
2021-03-26,enabled,denied,<20
2021-03-26,disabled,granted,781
2021-03-26,disabled,blocked,78
2021-03-26,disabled,granted,781
2021-03-26,disabled,blocked,78
2021-03-26,disabled,denied,<20
2021-03-27,enabled,granted,3916
2021-03-27,enabled,blocked,89
2021-03-27,enabled,granted,3916
2021-03-27,enabled,blocked,89
2021-03-27,enabled,denied,<20
2021-03-27,disabled,granted,788
2021-03-27,disabled,blocked,80
2021-03-27,disabled,granted,788
2021-03-27,disabled,blocked,80
2021-03-27,disabled,denied,<20
2021-03-28,enabled,granted,3863
2021-03-28,enabled,blocked,83
2021-03-28,enabled,granted,3863
2021-03-28,enabled,blocked,83
2021-03-28,enabled,denied,<20
2021-03-28,disabled,granted,741
2021-03-28,disabled,blocked,72
2021-03-28,disabled,granted,741
2021-03-28,disabled,blocked,72
2021-03-28,disabled,denied,<20
2021-03-29,enabled,granted,3927
2021-03-29,enabled,blocked,82
2021-03-29,enabled,granted,3927
2021-03-29,enabled,blocked,82
2021-03-29,enabled,denied,<20
2021-03-29,disabled,granted,783
2021-03-29,disabled,blocked,92
2021-03-29,disabled,granted,783
2021-03-29,disabled,blocked,92
2021-03-29,disabled,denied,<20
