date,region,exposure_status,count
2021-03-09,MB,monitoring,<20
2021-03-09,NB,exposed,<20
2021-03-09,NB,monitoring,<20
2021-03-09,NL,exposed,<20
2021-03-09,NL,monitoring,<20
2021-03-09,NT,exposed,<20
2021-03-09,NT,monitoring,<20
2021-03-09,NS,exposed,<20
2021-03-09,NS,monitoring,<20
2021-03-09,NU,exposed,<20
2021-03-09,NU,monitoring,<20
2021-03-09,ON,exposed,<20
2021-03-09,ON,monitoring,<20
2021-03-09,PE,exposed,<20
2021-03-09,PE,monitoring,<20
2021-03-09,QC,exposed,<20
2021-03-09,QC,monitoring,<20
2021-03-09,SK,exposed,<20
2021-03-09,SK,monitoring,<20
2021-03-09,YT,exposed,<20
2021-03-09,YT,monitoring,<20
2021-03-09,NPTS,exposed,<20
2021-03-09,NPTS,monitoring,<20
2021-03-10,AB,exposed,<20
2021-03-10,AB,monitoring,<20
2021-03-10,BC,exposed,<20
2021-03-10,BC,monitoring,<20
2021-03-10,MB,exposed,<20
2021-03-10,MB,monitoring,<20
2021-03-10,NB,exposed,<20
2021-03-10,NB,monitoring,<20
2021-03-10,NL,exposed,<20
2021-03-10,NL,monitoring,<20
2021-03-10,NT,exposed,<20
2021-03-10,NT,monitoring,<20
2021-03-10,NS,exposed,<20
2021-03-10,NS,monitoring,<20
2021-03-10,NU,exposed,<20
2021-03-10,NU,monitoring,<20
2021-03-10,ON,exposed,<20
2021-03-10,ON,monitoring,<20
2021-03-10,PE,exposed,<20
2021-03-10,PE,monitoring,<20
2021-03-10,QC,exposed,<20
2021-03-10,QC,monitoring,<20
2021-03-10,SK,exposed,<20
2021-03-10,SK,monitoring,<20
2021-03-10,YT,exposed,<20
2021-03-10,YT,monitoring,<20
2021-03-10,NPTS,exposed,<20
2021-03-10,NPTS,monitoring,<20
2021-03-11,AB,exposed,<20
2021-03-11,AB,monitoring,<20
2021-03-11,BC,exposed,<20
2021-03-11,BC,monitoring,<20
2021-03-11,MB,exposed,<20
2021-03-11,MB,monitoring,<20
2021-03-11,NB,exposed,<20
2021-03-11,NB,monitoring,<20
2021-03-11,NL,exposed,<20
2021-03-11,NL,monitoring,<20
2021-03-11,NT,exposed,<20
2021-03-11,NT,monitoring,<20
2021-03-11,NS,exposed,<20
2021-03-11,NS,monitoring,<20
2021-03-11,NU,exposed,<20
2021-03-11,NU,monitoring,<20
2021-03-11,ON,exposed,<20
2021-03-11,ON,monitoring,<20
2021-03-11,PE,exposed,<20
2021-03-11,PE,monitoring,<20
2021-03-11,QC,exposed,<20
2021-03-11,QC,monitoring,<20
2021-03-11,SK,exposed,<20
2021-03-11,SK,monitoring,<20
2021-03-11,YT,exposed,<20
2021-03-11,YT,monitoring,<20
2021-03-11,NPTS,exposed,<20
2021-03-11,NPTS,monitoring,<20
2021-03-12,AB,exposed,<20
2021-03-12,AB,monitoring,<20
2021-03-12,BC,exposed,<20
2021-03-12,BC,monitoring,<20
2021-03-12,MB,exposed,<20
2021-03-12,MB,monitoring,<20
2021-03-12,NB,exposed,<20
2021-03-12,NB,monitoring,<20
2021-03-12,NL,exposed,<20
2021-03-12,NL,monitoring,<20
2021-03-12,NT,exposed,<20
2021-03-12,NT,monitoring,<20
2021-03-12,NS,exposed,<20
2021-03-12,NS,monitoring,<20
2021-03-12,NU,exposed,<20
2021-03-12,NU,monitoring,<20
2021-03-12,ON,exposed,<20
2021-03-12,ON,monitoring,<20
2021-03-12,PE,exposed,<20
2021-03-12,PE,monitoring,<20
2021-03-12,QC,exposed,<20
2021-03-12,QC,monitoring,<20
2021-03-12,SK,exposed,<20
