date,region,date_provided-date_fournie,count-nombre
2021-04-06,PE,no_date-date_so,<20
2021-04-06,QC,date,<20
2021-04-06,QC,no_date-date_so,<20
2021-04-06,SK,date,<20
2021-04-06,SK,no_date-date_so,<20
2021-04-06,YT,date,<20
2021-04-06,YT,no_date-date_so,<20
2021-04-06,npts-ptso,date,<20
2021-04-06,npts-ptso,no_date-date_so,<20
2021-04-07,AB,date,<20
2021-04-07,AB,no_date-date_so,<20
2021-04-07,BC,date,<20
2021-04-07,BC,no_date-date_so,<20
2021-04-07,MB,date,<20
2021-04-07,MB,no_date-date_so,<20
2021-04-07,NB,date,<20
2021-04-07,NB,no_date-date_so,<20
2021-04-07,NL,date,<20
2021-04-07,NL,no_date-date_so,<20
2021-04-07,NT,date,<20
2021-04-07,NT,no_date-date_so,<20
2021-04-07,NS,date,<20
2021-04-07,NS,no_date-date_so,<20
2021-04-07,NU,date,<20
2021-04-07,NU,no_date-date_so,<20
2021-04-07,ON,date,44
2021-04-07,ON,no_date-date_so,43
2021-04-07,PE,date,<20
2021-04-07,PE,no_date-date_so,<20
2021-04-07,QC,date,<20
2021-04-07,QC,no_date-date_so,<20
2021-04-07,SK,date,<20
2021-04-07,SK,no_date-date_so,<20
2021-04-07,YT,date,<20
2021-04-07,YT,no_date-date_so,<20
2021-04-07,npts-ptso,date,<20
2021-04-07,npts-ptso,no_date-date_so,<20
2021-04-08,AB,date,<20
2021-04-08,AB,no_date-date_so,<20
2021-04-08,BC,date,<20
2021-04-08,BC,no_date-date_so,<20
2021-04-08,MB,date,<20
2021-04-08,MB,no_date-date_so,<20
2021-04-08,NB,date,<20
2021-04-08,NB,no_date-date_so,<20
2021-04-08,NL,date,<20
2021-04-08,NL,no_date-date_so,<20
2021-04-08,NT,date,<20
2021-04-08,NT,no_date-date_so,<20
2021-04-08,NS,date,<20
2021-04-08,NS,no_date-date_so,<20
2021-04-08,NU,date,<20
2021-04-08,NU,no_date-date_so,<20
2021-04-08,ON,date,150
2021-04-08,ON,no_date-date_so,152
2021-04-08,PE,date,<20
2021-04-08,PE,no_date-date_so,<20
2021-04-08,QC,date,<20
2021-04-08,QC,no_date-date_so,22
2021-04-08,SK,date,<20
2021-04-08,SK,no_date-date_so,<20
2021-04-08,YT,date,<20
2021-04-08,YT,no_date-date_so,<20
2021-04-08,npts-ptso,date,<20
2021-04-08,npts-ptso,no_date-date_so,<20
2021-04-09,AB,date,<20
2021-04-09,AB,no_date-date_so,<20
