date,region,date_provided-date_fournie,count-nombre
2022-04-30,NU,date,<20
2022-04-30,NU,no_date-date_so,<20
2022-04-30,ON,date,1993
2022-04-30,ON,no_date-date_so,88
2022-04-30,PE,date,<20
2022-04-30,PE,no_date-date_so,<20
2022-04-30,QC,date,22
2022-04-30,QC,no_date-date_so,<20
2022-04-30,SK,date,<20
2022-04-30,SK,no_date-date_so,<20
2022-04-30,YT,date,<20
2022-04-30,YT,no_date-date_so,<20
2022-04-30,npts-ptso,date,96
2022-04-30,npts-ptso,no_date-date_so,<20
