date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-03-21,7-12,ios,1.2.8,76
2021-03-21,7-12,ios,1.2.9,<20
2021-03-21,7-12,ios,1.4.0,23
2021-03-21,7-12,ios,1.4.1,<20
2021-03-28,1-6,android,1.2.0,29910
2021-03-28,1-6,android,1.2.1,22048
2021-03-28,1-6,android,1.2.2,32966
2021-03-28,1-6,android,1.2.3,3439090
2021-03-28,1-6,android,1.2.4,571195
2021-03-28,1-6,android,1.2.5,1058
2021-03-28,1-6,android,1.2.6,1237
2021-03-28,1-6,android,1.2.7,1193
2021-03-28,1-6,android,1.2.8,742
2021-03-28,1-6,android,1.2.9,670
2021-03-28,1-6,ios,1.2.0,191932
2021-03-28,1-6,ios,1.2.1,125746
2021-03-28,1-6,ios,1.2.2,186018
2021-03-28,1-6,ios,1.2.3,8750086
2021-03-28,1-6,ios,1.2.4,1551133
2021-03-28,1-6,ios,1.2.6,120
2021-03-28,1-6,ios,1.2.7,134
2021-03-28,1-6,ios,1.2.8,118
2021-03-28,1-6,ios,1.2.9,<20
2021-03-28,1-6,ios,1.4.0,37
2021-03-28,1-6,ios,1.4.1,<20
2021-03-28,13-30,android,1.2.0,177
2021-03-28,13-30,android,1.2.1,<20
2021-03-28,13-30,android,1.2.2,<20
2021-03-28,13-30,android,1.2.3,101
2021-03-28,13-30,android,1.2.4,25
2021-03-28,13-30,android,1.2.8,<20
2021-03-28,13-30,ios,1.2.0,<20
2021-03-28,13-30,ios,1.2.1,<20
2021-03-28,13-30,ios,1.2.2,<20
2021-03-28,13-30,ios,1.2.3,162
2021-03-28,13-30,ios,1.2.4,33
2021-03-28,13-30,ios,1.2.8,<20
2021-03-28,30+,android,1.2.0,<20
2021-03-28,30+,ios,1.2.0,<20
2021-03-28,7-12,android,1.2.0,4792
2021-03-28,7-12,android,1.2.1,1440
2021-03-28,7-12,android,1.2.2,2054
2021-03-28,7-12,android,1.2.3,201587
2021-03-28,7-12,android,1.2.4,37570
2021-03-28,7-12,android,1.2.5,<20
2021-03-28,7-12,android,1.2.6,<20
2021-03-28,7-12,android,1.2.7,20
2021-03-28,7-12,android,1.2.8,<20
2021-03-28,7-12,android,1.2.9,<20
2021-03-28,7-12,ios,1.2.0,66430
2021-03-28,7-12,ios,1.2.1,44602
2021-03-28,7-12,ios,1.2.2,71385
2021-03-28,7-12,ios,1.2.3,4458241
2021-03-28,7-12,ios,1.2.4,912536
2021-03-28,7-12,ios,1.2.6,76
2021-03-28,7-12,ios,1.2.7,111
2021-03-28,7-12,ios,1.2.8,94
2021-03-28,7-12,ios,1.2.9,<20
2021-03-28,7-12,ios,1.4.0,23
2021-03-28,7-12,ios,1.4.1,<20
2021-04-04,1-6,android,1.2.0,25180
2021-04-04,1-6,android,1.2.1,15937
