date,region,os-se,count-nombre
2021-05-02,QC,ios,493785
2021-05-02,SK,android,17260
2021-05-02,SK,ios,61732
2021-05-02,YT,android,214
2021-05-02,YT,ios,892
2021-05-02,npts-ptso,android,36761
2021-05-02,npts-ptso,ios,225427
2021-05-09,AB,android,13370
2021-05-09,AB,ios,73672
2021-05-09,BC,android,25999
2021-05-09,BC,ios,149346
2021-05-09,MB,android,24909
2021-05-09,MB,ios,102463
2021-05-09,NB,android,24288
2021-05-09,NB,ios,60006
2021-05-09,NL,android,25850
2021-05-09,NL,ios,92551
2021-05-09,NT,android,735
2021-05-09,NT,ios,2271
2021-05-09,NS,android,35512
2021-05-09,NS,ios,94387
2021-05-09,NU,android,244
2021-05-09,NU,ios,548
2021-05-09,ON,android,370995
2021-05-09,ON,ios,1091205
2021-05-09,PE,android,5133
2021-05-09,PE,ios,15152
2021-05-09,QC,android,198637
2021-05-09,QC,ios,489652
2021-05-09,SK,android,17330
2021-05-09,SK,ios,61469
2021-05-09,YT,android,216
2021-05-09,YT,ios,887
2021-05-09,npts-ptso,android,36574
2021-05-09,npts-ptso,ios,228345
2021-05-16,AB,android,13252
2021-05-16,AB,ios,72781
2021-05-16,BC,android,25807
2021-05-16,BC,ios,148026
2021-05-16,MB,android,24962
2021-05-16,MB,ios,102290
2021-05-16,NB,android,24270
2021-05-16,NB,ios,59869
2021-05-16,NL,android,25849
2021-05-16,NL,ios,92224
2021-05-16,NT,android,756
2021-05-16,NT,ios,2310
2021-05-16,NS,android,35988
2021-05-16,NS,ios,95339
2021-05-16,NU,android,246
2021-05-16,NU,ios,542
2021-05-16,ON,android,369037
2021-05-16,ON,ios,1085998
2021-05-16,PE,android,5184
2021-05-16,PE,ios,15143
2021-05-16,QC,android,196884
2021-05-16,QC,ios,485050
2021-05-16,SK,android,17263
2021-05-16,SK,ios,61128
2021-05-16,YT,android,220
2021-05-16,YT,ios,891
2021-05-16,npts-ptso,android,36230
2021-05-16,npts-ptso,ios,231799
2021-05-23,AB,android,16324
2021-05-23,AB,ios,56657
2021-05-23,BC,android,32318
2021-05-23,BC,ios,116014
2021-05-23,MB,android,37188
2021-05-23,MB,ios,80520
2021-05-23,NB,android,33156
2021-05-23,NB,ios,47231
2021-05-23,NL,android,45952
2021-05-23,NL,ios,71900
2021-05-23,NT,android,943
2021-05-23,NT,ios,1876
